Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo Municipio INE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;email;Web;Entidad_Titular;Naturaleza;Sector;Tipo;Subtipo
SERVICIO DE AYUDA A DOMICILIO ;04/03/2024;PLAZA JUAN XXIII 5;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA I - CENTRO;979 706954;;g.lopez@fundacionsancebrian.com;;EMPADES SIGLO XXI, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIOS COMPLEMENTARIOS DE APOYO A LA PERMANENCIA EN EL DOMICILIO;30/09/2021;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA IV - NORESTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;PERSONAS MAYORES;Servicio;Apoyo a la permanencia de personas mayores en su domicilio
SERVICIO DE AYUDA A DOMICILIO;13/12/2023;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA IV - NORESTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
ASISTENCIA PERSONAL;28/06/2024;PASEO PADRE FAUSTINO CALVO 46  ;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 742300;979 999999999;miguelangel.garcia@sjd.es;;ORDEN HOSPITALARIA HERMANOS SAN JUAN DE DIOS;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Servicio;Asistencia Personal
SERVICIO DE ESTIMULACIÓN COGNITIVA;03/07/2024;CALLE RENAULT ESPAÑA (DE)   ;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;647 692362;647 660482969;aspacepalencia@hotmail.com;;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-PALENCIA);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Servicio de estimulación cognitiva
HABILITACION Y TERAPIA OCUPACIONAL;30/09/2021;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA IV - NORESTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON DISCAPACIDAD INTELECTUAL;19/04/2016;CAMINO MIRANDA (LA) S/N;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;979 742830;;;;CONGREGACION SIERVOS DE LA CARIDAD PP.GUANELIANOS;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
 PROMOCIÓN DE LA AUTONOMÍA PERSONAL:HABILITACION Y TERAPIA OCUPACIONAL;30/08/2022;CALLE RAMIREZ Nº 4 (ENTRADA POR CALLE Dª URRACA Nº 9);34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 746342;;;;ASOCIACION SALUD MENTAL PALENCIA - FEAFES PALENCIA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE ESTIMULACIÓN COGNITIVA;08/04/2016;CAMINO MIRANDA (LA) S/N;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;979 742830;;;;CONGREGACION SIERVOS DE LA CARIDAD PP.GUANELIANOS;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;08/04/2016;CAMINO MIRANDA (LA) S/N;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;979 742830;;;;CONGREGACION SIERVOS DE LA CARIDAD PP.GUANELIANOS;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACION Y TERAPIA OCUPACIONAL;30/09/2021;PASEO NUESTRA SEÑORA DE LOS ANGELES 10;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;695 711989;;centrodediaconmimo@hotmail.com;;CENTRO DE DIA CUIDADOS CON MIMO S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;PASEO NUESTRA SEÑORA DE LOS ANGELES 10;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;695 711989;;centrodediaconmimo@hotmail.com;;CENTRO DE DIA CUIDADOS CON MIMO S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;30/09/2021;PASEO NUESTRA SEÑORA DE LOS ANGELES 10;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;695 711989;;centrodediaconmimo@hotmail.com;;CENTRO DE DIA CUIDADOS CON MIMO S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE APOYO A LA PERMANENCIA DE LAS PERSONAS MAYORES EN SU DOMICILIO;30/09/2021;PASEO NUESTRA SEÑORA DE LOS ANGELES 10;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;695 711989;;centrodediaconmimo@hotmail.com;;CENTRO DE DIA CUIDADOS CON MIMO S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Apoyo a la permanencia de personas mayores en su domicilio
ASISTENCIA PERSONAL;02/08/2022;CALLE ASTERIO MAÑANOS 6;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 746342;;;;ASOCIACION SALUD MENTAL PALENCIA - FEAFES PALENCIA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Asistencia Personal
SERVICIO DE PROMOCION, MANTENIMIENTO Y RECUPERACION DE LA AUTONOMIA;30/09/2021;CALLE FRANCISCO VIGHI 21 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;630 554293;;;;ASOCIACIÓN CULTURAL Y RECREATIVA DE MINUSVÁLIDOS FÍSICOS (ACREMIF);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;CALLE FRANCISCO VIGHI 21 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;630 554293;;;;ASOCIACIÓN CULTURAL Y RECREATIVA DE MINUSVÁLIDOS FÍSICOS (ACREMIF);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;CALLE FRANCISCO VIGHI 21 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;630 554293;;;;ASOCIACIÓN CULTURAL Y RECREATIVA DE MINUSVÁLIDOS FÍSICOS (ACREMIF);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;11/12/2020;CALLE ANTONIO ALAMO SALAZAR 10 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;677 744369;;;;ASOCIACIÓN SÍNDROME DE DOWN DE PALENCIA (ASDOPA);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE PROMOCIÓN DE LA AUTONOMÍA PERSONAL: DE ATENCIÓN TEMPRANA;26/01/2024;CALLE ANTONIO ALAMO SALAZAR 10 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;677 744369;;;;ASOCIACIÓN SÍNDROME DE DOWN DE PALENCIA (ASDOPA);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE HABILITACION Y TERAPIA OCUPACIONAL;10/03/2017;CALLE ANTONIO ALAMO SALAZAR 10 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;677 744369;;;;ASOCIACIÓN SÍNDROME DE DOWN DE PALENCIA (ASDOPA);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE ESTIMULACIÓN COGNITIVA;28/05/2021;CALLE ANTONIO ALAMO SALAZAR 10 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;667 744369;;;;ASOCIACIÓN SÍNDROME DE DOWN DE PALENCIA (ASDOPA);ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;14/12/2020;AVENIDA SIMON NIETO 14 BAJO;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 752512;;;;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-PALENCIA);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE ESTIMULACIÓN COGNITIVA;10/12/2020;AVENIDA SIMON NIETO 14 BAJO;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 752512;;;;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-PALENCIA);ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE AYUDA A DOMICILIO;15/03/2024;PLAZA JUAN XXIII 5  ;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA I - CENTRO;979 706954;;g.lopez@fundacionsancebrian.com;;FUNDACIÓN VALORA2;FUNDACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;09/11/2021;CALLE FRANCISCO VIGHI 23 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;979 723753;;;;ESCLEROSIS MÚLTIPLE PALENCIA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
ASISTENCIA PERSONAL;02/08/2022;CALLE DE LA MUJER PALENTINA, 4 BAJO;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;979 110700;979 110700;;;PLENITUD SOCIAL 2007, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Asistencia Personal
ACTIVIDADES DE CONVIVENCIA Y PARTICIPACION INTERCULTURAL;21/08/2013;CALLE DON PELAYO 6-2º A;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;609 883567;;;;ASOCIACION SOCIO CULTURAL DE OCIO E INTEGRACION DE GITANOS Y PAYOS (GIPAL);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Información y orientación a la población general
SERVICIO DE HABILITACION Y TERAPIA OCUPACIONAL;08/07/2013;CALLE ROBLES (LOS) 9;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;662 402321;;;;ASOCIACIÓN DE AFECTADOS DE FIBROMIALGIA Y FATIGA CRÓNICA ASOCIADOS EN CASTILLA Y LEÓN (AFACYL);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Fomento de la autonomía personal
HABILITACION Y TERAPIA OCUPACIONAL;27/12/2012;AVENIDA SIMON NIETO 14 BAJO;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 752512;;;;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-PALENCIA);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;14/12/2020;CALLE ANTONIO ALAMO SALAZAR 10 BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;979 710913;;;;ASOCIACIÓN SÍNDROME DE DOWN DE PALENCIA (ASDOPA);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;30/09/2021;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA IV - NORESTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA IV - NORESTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE PROMOCIÓN DE LA AUTONOMÍA PERSONAL: DE ATENCIÓN TEMPRANA;26/01/2024;AVENIDA SIMON NIETO 14 BAJO;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 752512;;;;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-PALENCIA);ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE ATENCION A PERSONAS EN EXCLUSION O RIESGO DE EXCLUSION;30/09/2021;AVENIDA MADRID 45;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;637 244188;;;;ASOCIACIÓN DE ACCIÓN SOCIAL ÍTACA 3;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Información y orientación a la población general
SERVICIO DE PROMOCIÓN DE LA AUTONOMÍA: ESPACIOS DE LIBERTAD;03/08/2022;CALLE FRANCISCO VIGHI 29;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;979 706954;;;;FUNDACIÓN SAN CEBRIÁN;FUNDACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Fomento de la autonomía personal
SERVICIO DE AYUDA A DOMICILIO;05/03/2007;AVENIDA CASADO DEL ALISAL 35, 1º-A;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA I - CENTRO;;;;;ISOLUX CORSAN SERVICIOS, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
ATENCIÓN Y REHABILITACIÓN DE PERSONAS CON DISCAPACIDAD FÍSICA;17/06/2011;CALLE FRANCISCO VIGHI 21, BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA II - NORTE;979 706954;;;;FUNDACIÓN SAN CEBRIÁN;FUNDACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Rehabilitación física
SERVICIO DE ACCION SOCIAL PARA APOYO FAMILIAS EN DIFICULTAD;03/08/2022;PASEO VICTORIO MACHO 98;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;979 742236;;;;H H BENEDICTINAS DE LA PROVIDENCIA;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Procedimiento, Servicio;Apoyo a familias
ACOGIMIENTO TEMPORAL RECUPERATIVO DE MENORES EXTRANJEROS;05/03/2007;CALLE MAYOR ANTIGUA 34, 3º-A;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA I - CENTRO;979 700790;;;;ASOCIACION  BENEFICA "MOSCOVA";ASOCIACIÓN;INFANCIA (Y JUVENTUD);Procedimiento, Servicio;Apoyo al acogimiento familiar
SERVICIO DE AYUDA A DOMICILIO;22/06/2023;CALLE OBISPO NICOLAS CASTELLANOS 11, OFIC. 9 Y 10;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA III - SUR;983 228580;;argutierrez@clece.es;;CLECE, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
ACTIVIDADES SOCIOCULTURALES PARA INTEGRACION;21/07/2008;PLAZA CERVANTES 5;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;979 740972;;;;ASOCIACION "MANUS";ASOCIACIÓN;INCLUSIÓN SOCIAL-[ME];Servicio;Promoción individual y reinserción social
AYUDA A DOMICILIO;21/07/2008;AVENIDA SANTANDER 44- DESP:13;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;616 726953;;;;ELISA CASTRILLEJO MARTINEZ;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;19/08/2024;CALLE EXTREMADURA 24;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA II - NORTE;983 134444;;;;ONET IBERIA SOLUCIONES, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIOS PROFESIONALES DE INTERVENCION PSICOSOCIAL;05/03/2007;CALLE IGNACIO MARTINEZ DE AZCOITIA 10BAJO;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA I - CENTRO;663 13253;;;;CONFEDERACIÓN DE PERSONAS CON DISCAPACIDAD FÍSICA DE CASTILLA Y LEÓN (COCEMFE-CASTILLA Y LEÓN);FEDERACIÓN-CONFEDERACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Apoyo a grupos de autoayuda y ayuda mutua
SERVICIO DE INTEGRACION LABORAL A PERSONAS CON DISCAPACIDAD;05/03/2007;CALLE IGNACIO MARTINEZ DE AZCOITIA 10BAJO;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA I - CENTRO;663 13253;;;;CONFEDERACIÓN DE PERSONAS CON DISCAPACIDAD FÍSICA DE CASTILLA Y LEÓN (COCEMFE-CASTILLA Y LEÓN);FEDERACIÓN-CONFEDERACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Apoyo a la integración de las personas con discapacidad
INFORMACION Y ASESORAMIENTO A ENTIDADES Y USUARIOS;05/03/2007;CALLE IGNACIO MARTINEZ DE AZCOITIA 10BAJO;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA I - CENTRO;663 13253;;;;CONFEDERACIÓN DE PERSONAS CON DISCAPACIDAD FÍSICA DE CASTILLA Y LEÓN (COCEMFE-CASTILLA Y LEÓN);FEDERACIÓN-CONFEDERACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Información y orientación sobre discapacidad
APOYO Y ACOMPAÑAMIENTO A INMIGRANTES;05/03/2007;PASEO JULIA (LA) 1, ENTREPLANTA;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA III - SUR;979 725467;;;;ASOCIACION NUEVOS HORIZONTES;ASOCIACIÓN;INCLUSIÓN SOCIAL-[IM];Servicio;Promoción individual y reinserción social
PROGRAMA SOCIOCULTURAL;03/08/2022;PLAZA ABILIO CALDERON AHORA PLAZA DE LOS JUZGADOS;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA II - NORTE;979 749131;;;;ASOCIACION DE TRABAJADORES PASIVOS DE PALENCIA;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIOS SOCIALES DE PROXIMIDAD PARA LAS PERSONAS MAYORES DEL MEDIO RURAL;05/03/2007;CALLE ALONSO FERNANDEZ DE MADRID 2- 2º IZDA.;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA II - NORTE;646 857700;;;;SOLIDARIDAD INTERGENERACIONAL, ASOCIACION DE PERSONAS MAYORES Y FAMILIARES;ASOCIACIÓN;PERSONAS MAYORES;Servicio;Información y orientación
SERVICIO DE AYUDA A DOMICILIO;20/12/2023;CALLE RAMON CARANDE 38 BAJO;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;667 744369;;2manosservicios@gmail.com;;DOS MANOS SERVICIOS INTEGRALES, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DINAMIZACION SOCIOCULTURAL Y COMUNITARIA;11/02/2008;PLAZA CONDES DE CARRIÓN;34;34120;PALENCIA;PALENCIA;34005;CARRIÓN DE LOS CONDES - OSORNO;979 706954;;;;FUNDACIÓN SAN CEBRIÁN;FUNDACIÓN;PERSONAS CON DISCAPACIDAD;Residencia, Servicio;Sociocultural
APOYO, SENSIBILIZACION Y MEDIACION CON FAMILIAS EN CONFLICTO;05/03/2007;PASEO JULIA (LA) 1ENTREPLANTA;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA III - SUR;979 725467;;;;ASOCIACION NUEVOS HORIZONTES;ASOCIACIÓN;INFANCIA (Y JUVENTUD);Servicio;Mediación familiar
SERVICIO DE INTEGRACION SOCIAL;25/02/2010;CALLE INES MORO 43 BAJO;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA IV - NORESTE;666 802489;;;;ASOCIACION CULTURAL MURIEL;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Información y orientación a la población general
PROGRAMA DE ACTIVIDADES DESTINADAS A MENORES EN RIESGO Y PERSONAS CON DISCAPACIDAD AFECTADAS POR TDA-H;20/04/2010;CALLE QUITO S/N;34;34120;PALENCIA;PALENCIA;34003;PALENCIA - ZONA I - CENTRO;670 748727;;;;ASOCIACION TDA-H PALENCIA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Información y orientación sobre discapacidad
AYUDA A DOMICILIO;30/09/2021;DE LA MUJER PALENTINA, 4 BAJO;34;34120;PALENCIA;PALENCIA;34002;PALENCIA - ZONA I - CENTRO;979 110700;;;;PLENITUD SOCIAL 2007, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
ACOMPAÑAMIENTO DE PERSONAS DEPENDIENTES EN DOMICILIOS;17/11/2009;CALLE MARCIANO ZURITA S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;678 459859;;;;MIGUEL ÁNGEL GARCÍA SÁNCHEZ (ACOMP. PALENCIA);PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE APOYO PARA LA INTEGRACIÓN SOCIOLABORAL DE MENORES PROVENIENTES DE LOS SISTEMAS DE INFANCIA;08/08/2022;CALLE PRIMERA UNIVERSIDAD DE ESPAÑA, Nº 41;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA I - CENTRO;968 344344;;;;FUNDACION DIAGRAMA - INTERVENCION PSICOSOCIAL;FUNDACIÓN;INFANCIA (Y JUVENTUD);Servicio;(27.1  ) Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia
SERVICIO DE AYUDA A DOMICILIO;29/07/2024;PLAZA PINTOR CANEJA 2, BAJO;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;979 165019;;;;EULEN SERVICIOS SOCIOSANITARIOS S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
APOYO AL INMIGRANTE Y FOMENTO DE LA INTERCULTURALIDAD;16/03/2009;CALLE MAYOR ANTIGUA 44;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;;;;;ASOCIACION DE VOLUNTARIADO "PUENTE DE VIDA";ASOCIACIÓN;INCLUSIÓN SOCIAL-[IM];Servicio;Información, orientación y asesoramiento
CUIDADO Y ATENCIÓN DE PERSONAS MAYORES, DISCAPACITADAS Y PSICOSOCIALES;21/07/2011;CARRETERA BURGOS S/N;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA II - NORTE;979 165324;;;;HERMANAS HOSPITALARIAS CENTRO SOCIOSANITARIO;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;PERSONAS MAYORES;Servicio;Gestión de centros
INFORMACION Y APOYO A PERSONAS CON AUTISMO;09/01/2009;CALLE SOLDADOS (LOS) 7-3º D;34;34120;PALENCIA;PALENCIA;34001;PALENCIA - ZONA I - CENTRO;979 747882;;;;ASOCIACIÓN AUTISMO PALENCIA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Información y orientación sobre discapacidad
PROMOCIÓN INDIVIDUAL Y REINSERCIÓN SOCIAL;20/10/2008;CALLE VAZQUEZ DE MELLA 2-1ºD;34;34120;PALENCIA;PALENCIA;34004;PALENCIA - ZONA III - SUR;979 746239;;;;FUNDACIÓN SANTA BRÍGIDA;FUNDACIÓN;INCLUSIÓN SOCIAL-[RE];Servicio;Promoción individual y reinserción social
SERVICIO DE AYUDA BÁSICA A PERSONAS NECESITADAS;20/10/2008;AVENIDA CASTILLA 33;34;34120;PALENCIA;PALENCIA;34005;PALENCIA - ZONA II - NORTE;617 660143;;;;ASOCIACION BENEFICA PALENTINA VIRGEN DE LA SOLEDAD;ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Apoyo a familias
